0%;2.0
5%;2.0
10%;2.0
15%;2.0
20%;4.0
25%;51.0
30%;426.0
35%;644.0
40%;1325.0
45%;1666.0
50%;1988.0
55%;2332.0
60%;2550.0
65%;2916.0
70%;3278.0
75%;3475.0
80%;3779.0
85%;4015.0
90%;4367.0
95%;4624.0
